Title,Year,Rating,Genre,Runtime,Director
The Dark Knight,2008,9,"Action, Crime, Drama",152 min,Christopher Nolan
The Lord of the Rings: The Return of the King,2003,8.9,"Action, Adventure, Drama",201 min,Peter Jackson
Inception,2010,8.8,"Action, Adventure, Sci-Fi",148 min,Christopher Nolan
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,"Action, Adventure, Drama",178 min,Peter Jackson
The Lord of the Rings: The Two Towers,2002,8.7,"Action, Adventure, Drama",179 min,Peter Jackson
The Matrix,1999,8.7,"Action, Sci-Fi",136 min,Lana Wachowski
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,"Action, Adventure, Fantasy",124 min,Irvin Kershner
Star Wars,1977,8.6,"Action, Adventure, Fantasy",121 min,George Lucas
Seppuku,1962,8.6,"Action, Drama, Mystery",133 min,Masaki Kobayashi
Shichinin no samurai,1954,8.6,"Action, Adventure, Drama",207 min,Akira Kurosawa
Gladiator,2000,8.5,"Action, Adventure, Drama",155 min,Ridley Scott
Léon,1994,8.5,"Action, Crime, Drama",110 min,Luc Besson
Terminator 2: Judgment Day,1991,8.5,"Action, Sci-Fi",137 min,James Cameron
Vikram Vedha,2017,8.4,"Action, Crime, Drama",147 min,Gayatri
Dangal,2016,8.4,"Action, Biography, Drama",161 min,Nitesh Tiwari
Spider-Man: Into the Spider-Verse,2018,8.4,"Animation, Action, Adventure",117 min,Bob Persichetti
Avengers: Endgame,2019,8.4,"Action, Adventure, Drama",181 min,Anthony Russo
Avengers: Infinity War,2018,8.4,"Action, Adventure, Sci-Fi",149 min,Anthony Russo
The Dark Knight Rises,2012,8.4,"Action, Adventure",164 min,Christopher Nolan
Oldeuboi,2003,8.4,"Action, Drama, Mystery",101 min,Chan-wook Park
Mononoke-hime,1997,8.4,"Animation, Action, Adventure",134 min,Hayao Miyazaki
Raiders of the Lost Ark,1981,8.4,"Action, Adventure",115 min,Steven Spielberg
Aliens,1986,8.3,"Action, Adventure, Sci-Fi",137 min,James Cameron
Star Wars: Episode VI - Return of the Jedi,1983,8.3,"Action, Adventure, Fantasy",131 min,Richard Marquand
Uri: The Surgical Strike,2018,8.2,"Action, Drama, War",138 min,Aditya Dhar
K.G.F: Chapter 1,2018,8.2,"Action, Drama",156 min,Prashanth Neel
Baahubali 2: The Conclusion,2017,8.2,"Action, Drama",167 min,S.S. Rajamouli
Gangs of Wasseypur,2012,8.2,"Action, Comedy, Crime",321 min,Anurag Kashyap
Paan Singh Tomar,2012,8.2,"Action, Biography, Crime",135 min,Tigmanshu Dhulia
Warrior,2011,8.2,"Action, Drama, Sport",140 min,Gavin O'Connor
V for Vendetta,2005,8.2,"Action, Drama, Sci-Fi",132 min,James McTeigue
Batman Begins,2005,8.2,"Action, Adventure",140 min,Christopher Nolan
Hera Pheri,2000,8.2,"Action, Comedy, Crime",156 min,Priyadarshan
"Lock, Stock and Two Smoking Barrels",1998,8.2,"Action, Comedy, Crime",107 min,Guy Ritchie
Andaz Apna Apna,1994,8.2,"Action, Comedy, Romance",160 min,Rajkumar Santoshi
Indiana Jones and the Last Crusade,1989,8.2,"Action, Adventure",127 min,Steven Spielberg
Die Hard,1988,8.2,"Action, Thriller",132 min,John McTiernan
Ran,1985,8.2,"Action, Drama, War",162 min,Akira Kurosawa
Sholay,1975,8.2,"Action, Adventure, Comedy",204 min,Ramesh Sippy
Yôjinbô,1961,8.2,"Action, Drama, Thriller",110 min,Akira Kurosawa
Sherlock Jr.,1924,8.2,"Action, Comedy, Romance",45 min,Buster Keaton
Haider,2014,8.1,"Action, Crime, Drama",160 min,Vishal Bhardwaj
Logan,2017,8.1,"Action, Drama, Sci-Fi",137 min,James Mangold
Rush,2013,8.1,"Action, Biography, Drama",123 min,Ron Howard
Ford v Ferrari,2019,8.1,"Action, Biography, Drama",152 min,James Mangold
Mad Max: Fury Road,2015,8.1,"Action, Adventure, Sci-Fi",120 min,George Miller
A Wednesday,2008,8.1,"Action, Crime, Drama",104 min,Neeraj Pandey
How to Train Your Dragon,2010,8.1,"Animation, Action, Adventure",98 min,Dean DeBlois
Taegukgi hwinalrimyeo,2004,8.1,"Action, Drama, War",140 min,Je-kyu Kang
Kill Bill: Vol. 1,2003,8.1,"Action, Crime, Drama",111 min,Quentin Tarantino
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,8.1,"Animation, Action, Drama",87 min,Hideaki Anno
Jurassic Park,1993,8.1,"Action, Adventure, Sci-Fi",127 min,Steven Spielberg
Blade Runner,1982,8.1,"Action, Sci-Fi, Thriller",117 min,Ridley Scott
Sanjuro,1962,8.1,"Action, Comedy, Crime",96 min,Akira Kurosawa
White Heat,1949,8.1,"Action, Crime, Drama",114 min,Raoul Walsh
The General,1926,8.1,"Action, Adventure, Comedy",67 min,Clyde Bruckman
Bajrangi Bhaijaan,2015,8,"Action, Adventure, Comedy",163 min,Kabir Khan
Baby,2015,8,"Action, Crime, Thriller",159 min,Neeraj Pandey
Bãhubali: The Beginning,2015,8,"Action, Drama",159 min,S.S. Rajamouli
Serbuan maut 2: Berandal,2014,8,"Action, Crime, Thriller",150 min,Gareth Evans
Guardians of the Galaxy,2014,8,"Action, Adventure, Comedy",121 min,James Gunn
Blade Runner 2049,2017,8,"Action, Drama, Mystery",164 min,Denis Villeneuve
The Revenant,2015,8,"Action, Adventure, Drama",156 min,Alejandro G. Iñárritu
Tropa de Elite 2: O Inimigo Agora é Outro,2010,8,"Action, Crime, Drama",115 min,José Padilha
Deadpool,2016,8,"Action, Adventure, Comedy",108 min,Tim Miller
Yip Man,2008,8,"Action, Biography, Drama",106 min,Wilson Yip
Nefes: Vatan Sagolsun,2009,8,"Action, Drama, Thriller",128 min,Levent Semerci
Tropa de Elite,2007,8,"Action, Crime, Drama",115 min,José Padilha
The Avengers,2012,8,"Action, Adventure, Sci-Fi",143 min,Joss Whedon
The Bourne Ultimatum,2007,8,"Action, Mystery, Thriller",115 min,Paul Greengrass
Casino Royale,2006,8,"Action, Adventure, Thriller",144 min,Martin Campbell
Kill Bill: Vol. 2,2004,8,"Action, Crime, Thriller",137 min,Quentin Tarantino
Mou gaan dou,2002,8,"Action, Crime, Drama",101 min,Andrew Lau
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8,"Action, Adventure, Fantasy",143 min,Gore Verbinski
The Incredibles,2004,8,"Animation, Action, Adventure",115 min,Brad Bird
The Iron Giant,1999,8,"Animation, Action, Adventure",86 min,Brad Bird
Knockin' on Heaven's Door,1997,8,"Action, Crime, Comedy",87 min,Thomas Jahn
Kôkaku Kidôtai,1995,8,"Animation, Action, Crime",83 min,Mamoru Oshii
Akira,1988,8,"Animation, Action, Sci-Fi",124 min,Katsuhiro Ôtomo
The Terminator,1984,8,"Action, Sci-Fi",107 min,James Cameron
Per un pugno di dollari,1964,8,"Action, Drama, Western",99 min,Sergio Leone
Rio Bravo,1959,8,"Action, Drama, Western",141 min,Howard Hawks
Thor: Ragnarok,2017,7.9,"Action, Adventure, Comedy",130 min,Taika Waititi
Star Wars: Episode VII - The Force Awakens,2015,7.9,"Action, Adventure, Sci-Fi",138 min,J.J. Abrams
X-Men: Days of Future Past,2014,7.9,"Action, Adventure, Sci-Fi",132 min,Bryan Singer
Edge of Tomorrow,2014,7.9,"Action, Adventure, Sci-Fi",113 min,Doug Liman
District 9,2009,7.9,"Action, Sci-Fi, Thriller",112 min,Neill Blomkamp
Star Trek,2009,7.9,"Action, Adventure, Sci-Fi",127 min,J.J. Abrams
Letters from Iwo Jima,2006,7.9,"Action, Adventure, Drama",141 min,Clint Eastwood
Iron Man,2008,7.9,"Action, Adventure, Sci-Fi",126 min,Jon Favreau
Ying xiong,2002,7.9,"Action, Adventure, History",120 min,Yimou Zhang
Cowboy Bebop: Tengoku no tobira,2001,7.9,"Animation, Action, Crime",115 min,Shin'ichirô Watanabe
The Bourne Identity,2002,7.9,"Action, Mystery, Thriller",119 min,Doug Liman
Jûbê ninpûchô,1993,7.9,"Animation, Action, Adventure",94 min,Yoshiaki Kawajiri
The Blues Brothers,1980,7.9,"Action, Adventure, Comedy",133 min,John Landis
Dawn of the Dead,1978,7.9,"Action, Adventure, Horror",127 min,George A. Romero
"Aguirre, der Zorn Gottes",1972,7.9,"Action, Adventure, Biography",95 min,Werner Herzog
The Wild Bunch,1969,7.9,"Action, Adventure, Western",145 min,Sam Peckinpah
